name;priceDM;sale_price;picture;product_category;sku
Соль для ванн Dr.Agua Нежное море ромашка 450г;590 ₸;499 ₸;https://static.detmir.st/media_out/850/094/3094850/450/0.jpg?1652264500180;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3094850
Крем AQA baby ультрапитательный 75мл 02012112;1 339 ₸;1 339 ₸;https://static.detmir.st/media_pim/517/188/3188517/450/0.jpg?1671111880526;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3188517
Средство для купания и шампунь DR.TUTTELLE с маслом оливы 500мл;5 890 ₸;4 119 ₸;https://static.detmir.st/media_out/373/257/4257373/450/0.jpg?1652264661076;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4257373
Молочко для тела Siberica Биберика Неженка-Снеженкана увлажняющее детское 250мл;2 990 ₸;2 269 ₸;https://static.detmir.st/media_pim/866/960/4960866/450/0.jpg?1678871133230;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4960866
Пятновыводитель-гель для стирки белья BioMio Bio 2в1 1500мл;5 590 ₸;3 899 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Бытовая химия детская;3163100
Порошок жидкий Ariel масло ши 1300мл;4 890 ₸;3 799 ₸;https://static.detmir.st/media_pim/944/160/3160944/450/0.jpg?1678375487243;Детский мир>Гигиена и уход>Бытовая химия детская;3160944
Средство для купания младенцев Bubchen Нежный уход с ромашкой 200мл;2 190 ₸;1 759 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4824992
Крем Siberica Биберика Наливное яблочко детский 75мл;2 490 ₸;1 799 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4960865
Средство для купания и шампунь DR.TUTTELLE с маслом оливы 260мл;3 790 ₸;2 379 ₸;https://static.detmir.st/media_out/372/257/4257372/450/0.jpg?1652264661076;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4257372
Бальзам для мытья детской посуды и принадлежностей Умкa 500мл 870152;890 ₸;799 ₸;https://static.detmir.st/media_pim/011/765/1765011/450/0.jpg?1678370387398;Детский мир>Гигиена и уход>Бытовая химия детская;1765011
Крем AQA baby увлажняющий 75мл 02012111;1 399 ₸;1 119 ₸;https://static.detmir.st/media_pim/516/188/3188516/450/0.jpg?1671111806680;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3188516
Соль для ванн Dr.Agua Первое море природная 450г;590 ₸;499 ₸;https://static.detmir.st/media_out/849/094/3094849/450/0.jpg?1652264500180;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3094849
Средство для мытья посуды BioMio 750мл;2 890 ₸;2 890 ₸;https://static.detmir.st/media_pim/845/335/3335845/450/0.jpg?1678366967836;Детский мир>Гигиена и уход>Бытовая химия детская;3335845
Бальзам-помада для губ Моё солнышко детский с экстрактом алоэ 28 г;419 ₸;419 ₸;https://static.detmir.st/media_out/211/960/1960211/450/0.jpg?1657944272416;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1960211
Гель для купания DR.TUTTELLE для детей с целебными травами 500мл;5 890 ₸;5 890 ₸;https://static.detmir.st/media_out/394/257/4257394/450/0.jpg?1652264661083;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4257394
Кондиционер для белья BioMio экологический с эфирным маслом мандарина и экстрактом хлопка 1000мл;2 959 ₸;1 959 ₸;https://static.detmir.st/media_out/107/163/3163107/450/0.jpg?1652264512567;Детский мир>Гигиена и уход>Бытовая химия детская;3163107
