name,priceDM,sale_price,picture,product_category,sku
Порошок стиральный Tide для чувствительной кожи 2400г 33328,3 249 ₸,2 519 ₸,https://static.detmir.st/media_pim/101/421/421101/450/0.jpg?1678458296333,Детский мир>Гигиена и уход>Бытовая химия детская,421101
Средство для купания младенцев Bubchen Нежный уход с ромашкой 400мл,3 290 ₸,2 959 ₸,https://static.detmir.st/media_pim/996/824/4824996/450/0.jpg?1681821951169,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4824996
Средство для купания и шампунь DR.TUTTELLE с маслом оливы 500мл,5 890 ₸,4 999 ₸,https://static.detmir.st/media_pim/373/257/4257373/450/0.jpg?1681822755906,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4257373
Гель для купания DR.TUTTELLE 500мл DT010/N,4 590 ₸,3 899 ₸,https://static.detmir.st/media_pim/019/464/3464019/450/0.jpg?1681822695299,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3464019
Крем AQA baby ультрапитательный 75мл 02012112,1 339 ₸,1 069 ₸,https://static.detmir.st/media_pim/517/188/3188517/1500/0.jpg?1671111880526,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3188517
Гель для стирки детского белья Умкa 1л,1 890 ₸,1 509 ₸,https://static.detmir.st/media_pim/881/764/1764881/1500/0.jpg?1678376219010,Детский мир>Гигиена и уход>Бытовая химия детская,1764881
Крем Моё солнышко Чистый носик 30мл c 1месяца,959,959,https://static.detmir.st/media_pim/747/880/4880747/450/0.jpg?1678807496999,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4880747
Гель Моё солнышко для подмывания младенцев 400 мл,1 690 ₸,1 519 ₸,https://static.detmir.st/media_pim/151/068/68151/450/0.jpg?1681556542886,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,68151
Средство для стирки Meine Liebe жидкое 800мл ML31196,2 790 ₸,2 229 ₸,https://static.detmir.st/media_pim/569/094/5094569/450/0.jpg?1678375718937,Детский мир>Гигиена и уход>Бытовая химия детская,5094569
Крем Siberica Биберика Наливное яблочко детский 75мл,2 490 ₸,2 239 ₸,https://static.detmir.st/media_out/865/960/4960865/450/0.jpg?1659931488140,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4960865
Гель Little Siberica для подмывания девочек 250мл,3 190 ₸,2 869 ₸,https://static.detmir.st/media_pim/857/960/4960857/450/0.jpg?1681827903497,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4960857
Крем Моё солнышко Баю-баюшки перед сном 100мл,1 190 ₸,1 190 ₸,https://static.detmir.st/media_out/701/035/35701/450/0.jpg?1657944212614,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,35701
Стиральный порошок Bio Mio Bio-Color Хлопок 1.5кг,6 390 ₸,4 469 ₸,https://static.detmir.st/media_pim/041/326/326041/1500/0.jpg?1670571974176,Детский мир>Гигиена и уход>Бытовая химия детская,326041
Соль для ванн Dr.Agua Первое море природная 450г,590,529,https://static.detmir.st/media_out/849/094/3094849/1500/0.jpg?1652264500180,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3094849
Бальзам для губ Enchantimals Черника,890,799,https://static.detmir.st/media_pim/530/088/3088530/1500/0.jpg?1681726983819,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3088530
Пятновыводитель Умкa детский 400 гр,890,709,https://static.detmir.st/media_pim/001/765/1765001/450/0.jpg?1678376332635,Детский мир>Гигиена и уход>Бытовая химия детская,1765001
Гель Моё солнышко для подмывания младенцев с календулой 400 мл,1 690 ₸,1 519 ₸,https://static.detmir.st/media_pim/681/035/35681/450/0.jpg?1681556505790,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,35681
Крем под подгузник Siberica Биберика Мамина забота детский 150мл,3 390 ₸,3 049 ₸,https://static.detmir.st/media_pim/864/960/4960864/450/0.jpg?1677754603691,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4960864
Стиральный порошок Meine Liebe для детского белья 1кг,3 759 ₸,2 999 ₸,https://static.detmir.st/media_pim/891/171/3171891/450/0.jpg?1678458170259,Детский мир>Гигиена и уход>Бытовая химия детская,3171891
Крем-гель Моё солнышко для подмывания с пантенолом 400 мл,2 290 ₸,2 059 ₸,https://static.detmir.st/media_pim/401/015/1015401/450/0.jpg?1681556581389,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,1015401
Бальзам-помада для губ Моё солнышко Пантенол 2.8г с 0месяцев,679,609,https://static.detmir.st/media_pim/053/525/3525053/450/0.jpg?1681726882461,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3525053
Соль для ванн DR.TUTTELLE морская с чередой 500г,1 390 ₸,1 179 ₸,https://static.detmir.st/media_out/138/246/4246138/450/0.jpg?1652264656608,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4246138
Бальзам для губ Enchantimals Виноград,890,799,https://static.detmir.st/media_pim/532/088/3088532/450/0.jpg?1681726941623,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3088532
Средство для подмывания Лапочка 300мл с 0месяцев 36300,1 289 ₸,1 159 ₸,https://static.detmir.st/media_out/654/108/3108654/450/0.jpg?1652264502802,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3108654
Гель для стирки детских вещей и пеленок DR.TUTTELLE 1.5л,9 900 ₸,8 909 ₸,https://static.detmir.st/media_out/346/257/4257346/1500/0.jpg?1652264661068,Детский мир>Гигиена и уход>Бытовая химия детская,4257346
Ванночка для купания младенцев Little Siberica Цветочная 200мл,1 390 ₸,1 249 ₸,https://static.detmir.st/media_pim/846/960/4960846/450/0.jpg?1681546019588,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4960846
Пена для ванны AQA baby успокаивающая с лавандой 400мл,2 199 ₸,1 979 ₸,https://static.detmir.st/media_pim/505/188/3188505/450/0.jpg?1681311936609,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3188505
Крем-тальк после купания Little Siberica детский 75мл,3 290 ₸,2 959 ₸,https://static.detmir.st/media_pim/851/960/4960851/1500/0.jpg?1681827867175,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4960851
Крем Крем Детский детский 46 мл,459,459,https://static.detmir.st/media_pim/691/035/35691/450/0.jpg?1678807525715,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,35691
Пенка для купания Моё солнышко Баю Баюшки перед сном 400мл с 6месяцев,1 790 ₸,1 609 ₸,https://static.detmir.st/media_pim/239/286/3286239/450/0.jpg?1681556628400,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3286239
Гель-кондиционер для стирки белья BioMio 1000мл 507.04166.0101,4 390 ₸,3 289 ₸,https://static.detmir.st/media_pim/400/253/3253400/1500/0.jpg?1678375515501,Детский мир>Гигиена и уход>Бытовая химия детская,3253400
Бальзам для губ Enchantimals Дыня,890,799,https://static.detmir.st/media_pim/533/088/3088533/450/0.jpg?1681726971783,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3088533
Пятновыводитель-гель для стирки белья BioMio Bio 2в1 1500мл,5 590 ₸,4 189 ₸,https://static.detmir.st/media_pim/100/163/3163100/450/0.jpg?1678376267816,Детский мир>Гигиена и уход>Бытовая химия детская,3163100
Гель-Пена Принцесса Воздушный шоколад 400 мл,1 299 ₸,1 169 ₸,https://static.detmir.st/media_pim/551/009/1009551/450/0.jpg?1681557492045,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,1009551
Средство для купания и шампунь DR.TUTTELLE с маслом оливы 260мл,3 790 ₸,3 219 ₸,https://static.detmir.st/media_pim/372/257/4257372/450/0.jpg?1681822745671,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4257372
Гель Моё солнышко для подмывания младенцев c календулой 200 мл,1 190 ₸,1 069 ₸,https://static.detmir.st/media_pim/671/035/35671/450/0.jpg?1681556493990,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,35671
Крем Gufolino с пантенолом 50мл,1 145 ₸,1 145 ₸,https://static.detmir.st/media_out/647/041/5041647/1500/0.jpg?1662782566607,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,5041647
Отбеливатель Умкa детский 400 гр,690,549,https://static.detmir.st/media_out/991/764/1764991/1500/0.jpg?1666152018165,Детский мир>Гигиена и уход>Бытовая химия детская,1764991
Помада для губ Лакомка Апельсиновый смузи,639,639,https://static.detmir.st/media_out/191/551/2551191/450/0.jpg?1652264487021,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,2551191
